ParentLocation,Period,FactValueNumeric
Western Pacific,2009,1.58
Eastern Mediterranean,2009,1.79
Western Pacific,2009,10.01
Europe,2009,10.04
Western Pacific,2009,10.09
Western Pacific,2009,10.16
Africa,2009,10.21
Africa,2009,10.23
Americas,2009,10.24
Eastern Mediterranean,2009,10.3
Americas,2009,10.42
South-East Asia,2009,10.46
Europe,2009,10.54
Africa,2009,10.57
Americas,2009,10.76
Africa,2009,10.88
Western Pacific,2009,10.94
Americas,2009,11.08
Europe,2009,11.37
Americas,2009,11.42
Eastern Mediterranean,2009,11.47
Europe,2009,11.83
Africa,2009,11.88
Europe,2009,11.89
Africa,2009,11.93
Africa,2009,12.06
Europe,2009,12.1
Americas,2009,12.12
Africa,2009,12.13
Africa,2009,12.39
Americas,2009,12.76
Europe,2009,12.82
Europe,2009,12.88
Western Pacific,2009,13.01
Africa,2009,13.03
Europe,2009,13.09
Europe,2009,13.24
Europe,2009,13.3
Americas,2009,13.37
Africa,2009,13.64
Africa,2009,13.65
Africa,2009,13.67
Africa,2009,13.89
Europe,2009,14.08
Africa,2009,14.24
Europe,2009,14.8
Africa,2009,15.22
Africa,2009,15.48
South-East Asia,2009,15.59
Africa,2009,15.64
Africa,2009,15.7
Africa,2009,15.8
Africa,2009,15.87
Africa,2009,15.89
Eastern Mediterranean,2009,15.95
Europe,2009,16.11
Africa,2009,16.3
Europe,2009,16.71
Europe,2009,16.78
Europe,2009,17.07
Europe,2009,17.23
Europe,2009,17.89
Africa,2009,18.42
Africa,2009,18.44
Africa,2009,18.47
Western Pacific,2009,18.7
Africa,2009,19.02
Europe,2009,19.21
Africa,2009,19.41
Western Pacific,2009,19.49
Europe,2009,19.54
Africa,2009,19.97
Eastern Mediterranean,2009,2.09
Africa,2009,2.25
Americas,2009,2.39
Europe,2009,2.47
Eastern Mediterranean,2009,2.68
Americas,2009,2.69
Americas,2009,2.72
Western Pacific,2009,2.78
Europe,2009,2.87
South-East Asia,2009,2.98
Africa,2009,20.86
Europe,2009,21.67
Europe,2009,21.81
Western Pacific,2009,22.48
Western Pacific,2009,22.69
South-East Asia,2009,22.72
Africa,2009,24.64
Americas,2009,26.53
Western Pacific,2009,27.02
Africa,2009,28.53
Western Pacific,2009,28.78
Africa,2009,29.24
Europe,2009,29.61
Eastern Mediterranean,2009,3.04
Africa,2009,3.15
Western Pacific,2009,3.15
South-East Asia,2009,3.29
Americas,2009,3.39
Americas,2009,3.4
Eastern Mediterranean,2009,3.43
Americas,2009,3.44
Eastern Mediterranean,2009,3.55
South-East Asia,2009,3.88
Europe,2009,3.99
Europe,2009,30.41
Africa,2009,32.13
Western Pacific,2009,32.95
Europe,2009,33.09
Europe,2009,33.32
Africa,2009,35.24
Americas,2009,36.31
Europe,2009,4.06
Americas,2009,4.15
South-East Asia,2009,4.41
Europe,2009,4.64
Americas,2009,4.74
Americas,2009,4.81
Europe,2009,4.87
Europe,2009,4.9
Western Pacific,2009,5.06
South-East Asia,2009,5.06
Americas,2009,5.06
Eastern Mediterranean,2009,5.13
Americas,2009,5.19
Eastern Mediterranean,2009,5.22
Eastern Mediterranean,2009,5.23
South-East Asia,2009,5.38
Americas,2009,5.47
Western Pacific,2009,5.47
Americas,2009,5.55
Africa,2009,5.56
Europe,2009,5.62
Americas,2009,5.63
Eastern Mediterranean,2009,5.65
Eastern Mediterranean,2009,5.71
Europe,2009,5.91
Eastern Mediterranean,2009,6.02
Europe,2009,6.12
Western Pacific,2009,6.39
Eastern Mediterranean,2009,6.58
Africa,2009,6.71
Eastern Mediterranean,2009,6.73
Eastern Mediterranean,2009,6.84
Americas,2009,6.99
Western Pacific,2009,6.99
Americas,2009,7.02
Europe,2009,7.15
South-East Asia,2009,7.27
Africa,2009,7.29
Western Pacific,2009,7.31
Europe,2009,7.36
Americas,2009,7.48
Eastern Mediterranean,2009,7.63
Eastern Mediterranean,2009,7.65
Europe,2009,7.78
Europe,2009,7.96
Africa,2009,75.15
Europe,2009,8.11
Europe,2009,8.22
Americas,2009,8.35
Europe,2009,8.51
Europe,2009,8.54
Africa,2009,8.55
Africa,2009,8.58
Africa,2009,8.6
Europe,2009,8.65
Africa,2009,8.87
Europe,2009,8.9
Americas,2009,8.95
Africa,2009,8.97
Africa,2009,84.63
Western Pacific,2009,9.03
South-East Asia,2009,9.13
Europe,2009,9.13
Americas,2009,9.46
Europe,2009,9.6
Eastern Mediterranean,2009,9.66
Europe,2009,9.81
Americas,2008,0.25
Americas,2008,0.72
Eastern Mediterranean,2008,1.81
Western Pacific,2008,1.81
Europe,2008,10.04
Africa,2008,10.14
Western Pacific,2008,10.2
South-East Asia,2008,10.21
Africa,2008,10.3
Americas,2008,10.39
Western Pacific,2008,10.45
Europe,2008,10.5
Eastern Mediterranean,2008,10.54
Western Pacific,2008,10.59
Europe,2008,10.63
Europe,2008,10.81
Americas,2008,10.83
Africa,2008,11.03
Africa,2008,11.2
Europe,2008,11.33
Americas,2008,11.4
Eastern Mediterranean,2008,11.44
Europe,2008,11.45
Europe,2008,11.67
Europe,2008,11.69
Africa,2008,11.75
Americas,2008,11.76
Africa,2008,11.83
Western Pacific,2008,11.9
Europe,2008,12.36
Americas,2008,12.59
Africa,2008,12.66
Americas,2008,12.77
Africa,2008,12.77
Africa,2008,12.86
Africa,2008,12.94
Europe,2008,13.21
Europe,2008,13.35
Europe,2008,13.36
Africa,2008,13.41
Europe,2008,13.48
Americas,2008,13.51
Africa,2008,13.95
Europe,2008,13.96
Africa,2008,13.97
Europe,2008,13.99
Africa,2008,14.24
Europe,2008,14.41
Western Pacific,2008,14.94
Africa,2008,15.23
Africa,2008,15.27
Africa,2008,15.51
Europe,2008,15.63
Africa,2008,15.66
Africa,2008,15.67
Africa,2008,15.69
Africa,2008,15.96
Eastern Mediterranean,2008,16.01
Africa,2008,16.07
Europe,2008,16.24
South-East Asia,2008,16.32
Europe,2008,16.58
Europe,2008,16.84
Europe,2008,17.32
Africa,2008,17.34
South-East Asia,2008,17.47
Europe,2008,18.12
Africa,2008,18.3
Western Pacific,2008,18.73
Africa,2008,18.89
Africa,2008,19
Africa,2008,19.01
Western Pacific,2008,19.03
Europe,2008,19.13
Africa,2008,19.66
Americas,2008,2.05
Eastern Mediterranean,2008,2.22
Americas,2008,2.29
Western Pacific,2008,2.36
Africa,2008,2.37
Europe,2008,2.47
Europe,2008,2.63
Americas,2008,2.84
Americas,2008,2.89
Eastern Mediterranean,2008,2.92
Africa,2008,20.12
Africa,2008,21.27
Europe,2008,21.66
Western Pacific,2008,21.7
Western Pacific,2008,22.9
Africa,2008,23.08
Western Pacific,2008,24.38
Europe,2008,25.9
Americas,2008,26.7
Western Pacific,2008,27
Africa,2008,27.29
Africa,2008,29.43
Eastern Mediterranean,2008,3.01
South-East Asia,2008,3.06
Western Pacific,2008,3.28
Africa,2008,3.31
Americas,2008,3.4
South-East Asia,2008,3.42
Eastern Mediterranean,2008,3.47
South-East Asia,2008,3.49
Eastern Mediterranean,2008,3.51
Americas,2008,3.74
South-East Asia,2008,3.91
Americas,2008,3.93
Europe,2008,30.58
Africa,2008,31.7
Europe,2008,32.65
Western Pacific,2008,33.45
Americas,2008,33.68
Europe,2008,33.76
Europe,2008,35.38
Africa,2008,36.06
Europe,2008,4.23
Americas,2008,4.27
Americas,2008,4.33
Americas,2008,4.58
Western Pacific,2008,4.71
Europe,2008,4.79
Europe,2008,4.85
Eastern Mediterranean,2008,4.86
Europe,2008,4.86
Eastern Mediterranean,2008,4.88
Europe,2008,5.06
Eastern Mediterranean,2008,5.19
Americas,2008,5.22
South-East Asia,2008,5.25
Eastern Mediterranean,2008,5.41
Western Pacific,2008,5.43
Americas,2008,5.49
South-East Asia,2008,5.52
Africa,2008,5.55
Europe,2008,5.55
Europe,2008,5.55
Americas,2008,5.57
Americas,2008,5.61
Americas,2008,5.61
Americas,2008,5.7
Eastern Mediterranean,2008,5.74
Europe,2008,5.78
Eastern Mediterranean,2008,6.32
Africa,2008,6.44
Europe,2008,6.52
Western Pacific,2008,6.65
Eastern Mediterranean,2008,6.69
Eastern Mediterranean,2008,6.78
Africa,2008,6.86
Americas,2008,7.01
Eastern Mediterranean,2008,7.17
Western Pacific,2008,7.21
Europe,2008,7.26
Americas,2008,7.28
Western Pacific,2008,7.35
South-East Asia,2008,7.42
Europe,2008,7.44
Africa,2008,7.71
Eastern Mediterranean,2008,7.81
Americas,2008,7.89
Europe,2008,7.93
Africa,2008,75.82
Africa,2008,77.79
Europe,2008,8.09
Eastern Mediterranean,2008,8.28
Americas,2008,8.59
Europe,2008,8.6
Africa,2008,8.62
Europe,2008,8.72
Western Pacific,2008,8.78
Africa,2008,8.86
Europe,2008,8.9
Africa,2008,8.99
Europe,2008,9.06
Africa,2008,9.14
Europe,2008,9.19
South-East Asia,2008,9.2
Europe,2008,9.53
Eastern Mediterranean,2008,9.76
Americas,2008,9.87
Americas,2008,9.88
Americas,2007,0.33
Americas,2007,1.26
Eastern Mediterranean,2007,1.77
Americas,2007,1.85
Americas,2007,1.89
Western Pacific,2007,10.05
Africa,2007,10.25
Americas,2007,10.36
Africa,2007,10.38
Africa,2007,10.43
Americas,2007,10.5
Americas,2007,10.54
Europe,2007,10.55
Americas,2007,10.65
Eastern Mediterranean,2007,10.73
Europe,2007,10.76
Western Pacific,2007,11.1
Americas,2007,11.19
Europe,2007,11.22
Africa,2007,11.23
Europe,2007,11.25
Eastern Mediterranean,2007,11.5
Africa,2007,11.66
Africa,2007,11.67
Western Pacific,2007,11.72
Europe,2007,11.73
Europe,2007,11.9
Europe,2007,12.16
Africa,2007,12.42
Africa,2007,12.53
Americas,2007,12.58
Africa,2007,13.01
Europe,2007,13.27
Europe,2007,13.38
Africa,2007,13.42
Europe,2007,13.49
Europe,2007,13.6
Africa,2007,13.67
Europe,2007,13.75
Europe,2007,13.78
Europe,2007,13.99
Africa,2007,14.18
Africa,2007,14.34
Europe,2007,14.43
Africa,2007,14.52
Africa,2007,15.02
Europe,2007,15.08
Western Pacific,2007,15.1
Europe,2007,15.28
Africa,2007,15.37
Africa,2007,15.46
Americas,2007,15.79
Eastern Mediterranean,2007,15.85
Africa,2007,15.89
Africa,2007,15.91
Africa,2007,16
Africa,2007,16.48
Africa,2007,16.59
South-East Asia,2007,16.69
Europe,2007,16.98
Europe,2007,17
Europe,2007,17.02
Europe,2007,17.47
Europe,2007,17.57
Africa,2007,17.68
Western Pacific,2007,18.06
Africa,2007,18.15
Europe,2007,18.89
Africa,2007,19.05
Western Pacific,2007,19.14
Africa,2007,19.84
Western Pacific,2007,2.19
Western Pacific,2007,2.21
Eastern Mediterranean,2007,2.37
Africa,2007,2.42
Europe,2007,2.45
Eastern Mediterranean,2007,2.59
Europe,2007,2.6
Americas,2007,2.82
Europe,2007,2.82
Americas,2007,2.92
Eastern Mediterranean,2007,2.99
South-East Asia,2007,20.08
Africa,2007,20.26
Africa,2007,20.4
Africa,2007,20.83
Africa,2007,21.76
Western Pacific,2007,21.96
Western Pacific,2007,23
Western Pacific,2007,23.24
Africa,2007,23.74
Europe,2007,26.37
Western Pacific,2007,27
Americas,2007,27.01
Africa,2007,27.23
Africa,2007,27.42
Africa,2007,27.7
Europe,2007,29.87
South-East Asia,2007,3.15
Americas,2007,3.32
Western Pacific,2007,3.33
Africa,2007,3.46
Eastern Mediterranean,2007,3.51
Eastern Mediterranean,2007,3.57
South-East Asia,2007,3.57
South-East Asia,2007,3.68
Europe,2007,30.91
Western Pacific,2007,32.84
Americas,2007,35.06
Europe,2007,36.26
Europe,2007,37.21
Africa,2007,37.45
Americas,2007,4.04
Americas,2007,4.16
South-East Asia,2007,4.23
Americas,2007,4.25
Americas,2007,4.3
Europe,2007,4.58
Eastern Mediterranean,2007,4.61
Europe,2007,4.7
Western Pacific,2007,4.8
Europe,2007,4.81
Europe,2007,5
Eastern Mediterranean,2007,5.02
Europe,2007,5.02
Americas,2007,5.05
Eastern Mediterranean,2007,5.11
Americas,2007,5.15
Europe,2007,5.17
Europe,2007,5.18
Eastern Mediterranean,2007,5.23
Western Pacific,2007,5.33
Americas,2007,5.4
Europe,2007,5.4
South-East Asia,2007,5.48
Americas,2007,5.64
South-East Asia,2007,5.67
Americas,2007,5.69
Africa,2007,5.71
Eastern Mediterranean,2007,5.98
Eastern Mediterranean,2007,6.52
Americas,2007,6.69
Europe,2007,6.71
Eastern Mediterranean,2007,6.82
Western Pacific,2007,6.89
Africa,2007,61.27
Africa,2007,7
Europe,2007,7.06
Eastern Mediterranean,2007,7.15
Americas,2007,7.15
Americas,2007,7.17
Western Pacific,2007,7.21
Western Pacific,2007,7.35
Eastern Mediterranean,2007,7.42
Africa,2007,7.55
Eastern Mediterranean,2007,7.73
South-East Asia,2007,7.74
Africa,2007,74.12
Europe,2007,8.05
Europe,2007,8.07
Americas,2007,8.17
Americas,2007,8.25
Europe,2007,8.33
Americas,2007,8.48
Europe,2007,8.57
Eastern Mediterranean,2007,8.72
Africa,2007,8.73
Africa,2007,8.74
Africa,2007,8.86
South-East Asia,2007,8.93
Europe,2007,8.94
Africa,2007,9.22
Europe,2007,9.25
Europe,2007,9.36
Western Pacific,2007,9.37
Europe,2007,9.44
Europe,2007,9.5
Western Pacific,2007,9.82
Eastern Mediterranean,2007,9.86
Americas,2007,9.86
Americas,2007,9.92
Africa,2007,9.96
South-East Asia,2007,9.97
Americas,2006,0.44
Americas,2006,1.33
Americas,2006,1.63
Eastern Mediterranean,2006,1.75
Africa,2006,10.09
Europe,2006,10.22
Africa,2006,10.26
Americas,2006,10.39
Africa,2006,10.61
Americas,2006,10.63
Europe,2006,10.63
Americas,2006,10.69
Americas,2006,10.96
Eastern Mediterranean,2006,11
Africa,2006,11.07
Europe,2006,11.2
Europe,2006,11.26
Africa,2006,11.37
Europe,2006,11.47
Europe,2006,11.65
Africa,2006,11.67
Eastern Mediterranean,2006,11.72
Western Pacific,2006,11.88
Europe,2006,12.08
Americas,2006,12.12
Europe,2006,12.23
Africa,2006,12.35
Europe,2006,12.49
Western Pacific,2006,12.63
Africa,2006,12.68
Europe,2006,12.77
Africa,2006,13.03
Americas,2006,13.31
Europe,2006,13.7
Americas,2006,13.79
Africa,2006,13.89
Europe,2006,13.9
Africa,2006,14.31
Europe,2006,14.36
Europe,2006,14.38
Africa,2006,14.41
Europe,2006,14.49
Africa,2006,14.57
Africa,2006,14.83
Africa,2006,14.85
Europe,2006,15
Western Pacific,2006,15.25
Africa,2006,15.49
Europe,2006,15.51
Africa,2006,15.58
Africa,2006,15.94
Eastern Mediterranean,2006,16.16
Africa,2006,16.35
Europe,2006,16.58
Western Pacific,2006,16.8
Europe,2006,16.82
Africa,2006,17.06
South-East Asia,2006,17.14
Africa,2006,17.16
Europe,2006,17.51
Africa,2006,17.53
Africa,2006,18.16
Europe,2006,18.25
South-East Asia,2006,18.41
Western Pacific,2006,18.44
Europe,2006,19.09
Europe,2006,19.17
Africa,2006,19.19
Europe,2006,19.22
Africa,2006,2.23
Western Pacific,2006,2.43
Western Pacific,2006,2.45
Eastern Mediterranean,2006,2.56
Eastern Mediterranean,2006,2.67
Eastern Mediterranean,2006,2.72
Europe,2006,2.79
Americas,2006,2.89
Europe,2006,2.9
Americas,2006,2.97
Africa,2006,20.15
Africa,2006,20.47
Western Pacific,2006,20.78
Africa,2006,20.92
Europe,2006,20.97
Africa,2006,21.16
Africa,2006,21.62
Africa,2006,21.82
Africa,2006,21.97
Western Pacific,2006,22.18
Western Pacific,2006,23.37
Africa,2006,24.52
Europe,2006,25.6
Africa,2006,26.54
Americas,2006,27.29
Western Pacific,2006,27.37
Africa,2006,28.14
Europe,2006,29.73
Western Pacific,2006,3.19
Europe,2006,3.22
South-East Asia,2006,3.22
Eastern Mediterranean,2006,3.56
Americas,2006,3.57
Africa,2006,3.65
Eastern Mediterranean,2006,3.65
South-East Asia,2006,3.77
South-East Asia,2006,3.9
Western Pacific,2006,31.46
Europe,2006,34.76
Americas,2006,34.96
Europe,2006,37.23
Europe,2006,39.07
Americas,2006,4.25
Americas,2006,4.29
Americas,2006,4.3
Eastern Mediterranean,2006,4.33
South-East Asia,2006,4.44
Eastern Mediterranean,2006,4.48
Americas,2006,4.6
Europe,2006,4.68
Western Pacific,2006,4.73
Europe,2006,4.74
Europe,2006,4.85
Americas,2006,4.9
Americas,2006,4.94
Africa,2006,40.94
Eastern Mediterranean,2006,5.15
Americas,2006,5.27
Eastern Mediterranean,2006,5.3
Europe,2006,5.34
Europe,2006,5.36
Western Pacific,2006,5.47
Europe,2006,5.47
Europe,2006,5.57
South-East Asia,2006,5.6
Americas,2006,5.61
Eastern Mediterranean,2006,5.68
Africa,2006,5.75
Europe,2006,5.83
South-East Asia,2006,5.85
Americas,2006,5.97
Africa,2006,55.36
Eastern Mediterranean,2006,6.12
Americas,2006,6.16
Eastern Mediterranean,2006,6.45
Europe,2006,6.89
Western Pacific,2006,6.9
Eastern Mediterranean,2006,6.92
Americas,2006,6.99
Africa,2006,64.93
Americas,2006,7
Western Pacific,2006,7.04
Africa,2006,7.08
Americas,2006,7.19
Eastern Mediterranean,2006,7.56
Western Pacific,2006,7.58
Americas,2006,7.68
Eastern Mediterranean,2006,7.82
Eastern Mediterranean,2006,7.83
Europe,2006,7.83
Europe,2006,7.93
Europe,2006,8.08
Africa,2006,8.11
South-East Asia,2006,8.26
Americas,2006,8.43
Africa,2006,8.45
Europe,2006,8.47
Americas,2006,8.53
Africa,2006,8.65
Europe,2006,8.77
South-East Asia,2006,8.95
Africa,2006,8.99
Africa,2006,9.06
Africa,2006,9.16
Europe,2006,9.25
Europe,2006,9.46
Western Pacific,2006,9.53
Americas,2006,9.56
Europe,2006,9.59
Americas,2006,9.72
South-East Asia,2006,9.74
Western Pacific,2006,9.86
Eastern Mediterranean,2006,9.87
Western Pacific,2006,9.9
Americas,2005,1.32
Americas,2005,1.6
Eastern Mediterranean,2005,1.78
Western Pacific,2005,1.94
Eastern Mediterranean,2005,10.05
Western Pacific,2005,10.07
Africa,2005,10.12
Western Pacific,2005,10.16
Europe,2005,10.2
Europe,2005,10.22
Africa,2005,10.3
Americas,2005,10.3
Africa,2005,10.41
Americas,2005,10.58
Africa,2005,10.68
Americas,2005,10.69
Europe,2005,10.81
Europe,2005,10.87
Africa,2005,10.93
Eastern Mediterranean,2005,10.97
Europe,2005,10.98
Europe,2005,11.1
Americas,2005,11.1
Europe,2005,11.44
Africa,2005,11.44
Europe,2005,11.56
Americas,2005,11.99
Eastern Mediterranean,2005,12.02
Americas,2005,12.05
Africa,2005,12.16
Western Pacific,2005,12.52
Europe,2005,12.61
Europe,2005,12.69
Western Pacific,2005,12.83
Africa,2005,12.92
Americas,2005,13.26
Africa,2005,13.26
Europe,2005,13.28
Europe,2005,14.06
Africa,2005,14.06
Africa,2005,14.11
Americas,2005,14.16
Africa,2005,14.32
Europe,2005,14.55
Africa,2005,14.69
Europe,2005,14.82
Africa,2005,14.97
Europe,2005,15.03
Europe,2005,15.22
Western Pacific,2005,15.26
Africa,2005,15.34
Africa,2005,15.61
Europe,2005,15.64
Africa,2005,15.64
Africa,2005,15.66
Europe,2005,15.81
Africa,2005,15.87
Africa,2005,16.26
Eastern Mediterranean,2005,16.61
Europe,2005,16.74
Western Pacific,2005,16.79
Europe,2005,16.88
South-East Asia,2005,17.01
Europe,2005,17.06
Africa,2005,17.36
Africa,2005,17.94
Africa,2005,18.49
Europe,2005,18.72
Africa,2005,18.75
Western Pacific,2005,18.81
Europe,2005,19.05
Africa,2005,2.12
Americas,2005,2.17
Europe,2005,2.34
Western Pacific,2005,2.36
Eastern Mediterranean,2005,2.7
Eastern Mediterranean,2005,2.75
Europe,2005,2.87
Eastern Mediterranean,2005,2.89
Americas,2005,2.96
Europe,2005,2.96
Americas,2005,2.98
Africa,2005,20.35
Europe,2005,20.48
Africa,2005,20.56
Europe,2005,20.64
Africa,2005,20.84
Africa,2005,20.95
Western Pacific,2005,21.42
Africa,2005,21.43
Africa,2005,21.97
Europe,2005,22.07
Africa,2005,22.13
Western Pacific,2005,23.91
Western Pacific,2005,23.97
Africa,2005,24.69
Americas,2005,26.99
Africa,2005,27.24
Africa,2005,27.46
Western Pacific,2005,27.65
Europe,2005,28.27
South-East Asia,2005,28.58
Americas,2005,3.15
Western Pacific,2005,3.19
Americas,2005,3.22
South-East Asia,2005,3.33
Eastern Mediterranean,2005,3.59
Eastern Mediterranean,2005,3.69
Europe,2005,3.81
Africa,2005,3.82
South-East Asia,2005,3.83
Western Pacific,2005,32.52
Americas,2005,35.58
Europe,2005,36.88
Europe,2005,37.25
Europe,2005,38.59
Eastern Mediterranean,2005,4.11
South-East Asia,2005,4.31
Americas,2005,4.33
Americas,2005,4.35
Europe,2005,4.37
South-East Asia,2005,4.49
Eastern Mediterranean,2005,4.58
Americas,2005,4.61
Europe,2005,4.69
Europe,2005,4.71
Americas,2005,4.77
Western Pacific,2005,4.79
Europe,2005,4.81
Americas,2005,4.96
Africa,2005,43.43
Europe,2005,43.56
Africa,2005,46.74
Eastern Mediterranean,2005,5.13
Americas,2005,5.31
Eastern Mediterranean,2005,5.39
Europe,2005,5.45
South-East Asia,2005,5.57
Americas,2005,5.59
Western Pacific,2005,5.65
Africa,2005,5.73
Eastern Mediterranean,2005,5.97
Europe,2005,5.97
South-East Asia,2005,5.99
Americas,2005,6.07
Eastern Mediterranean,2005,6.16
Eastern Mediterranean,2005,6.27
Europe,2005,6.62
Americas,2005,6.69
Eastern Mediterranean,2005,6.76
Western Pacific,2005,6.81
Western Pacific,2005,6.94
Europe,2005,6.94
Africa,2005,60.09
Americas,2005,7.09
Africa,2005,7.1
Americas,2005,7.41
Americas,2005,7.41
Eastern Mediterranean,2005,7.64
Europe,2005,7.65
Europe,2005,7.68
Western Pacific,2005,7.74
Europe,2005,7.91
Eastern Mediterranean,2005,7.97
Americas,2005,8.2
Europe,2005,8.26
Africa,2005,8.28
Africa,2005,8.43
South-East Asia,2005,8.52
Americas,2005,8.54
Africa,2005,8.65
Africa,2005,8.75
Europe,2005,8.95
South-East Asia,2005,9.04
Africa,2005,9.1
Africa,2005,9.21
Americas,2005,9.49
Europe,2005,9.56
Eastern Mediterranean,2005,9.62
Americas,2005,9.76
Europe,2005,9.81
Western Pacific,2005,9.96
South-East Asia,2005,9.98
Europe,2004,0.82
Americas,2004,0.96
