Region,Year,Gender,Average Suicide Rate
Africa,2000,Both sexes,17.838510638297873
Africa,2000,Female,8.764680851063828
Africa,2000,Male,28.432978723404258
Africa,2001,Both sexes,17.347872340425535
Africa,2001,Female,8.573617021276593
Africa,2001,Male,27.632765957446807
Africa,2002,Both sexes,17.164255319148936
Africa,2002,Female,8.478297872340425
Africa,2002,Male,27.373191489361698
Africa,2003,Both sexes,16.953617021276592
Africa,2003,Female,8.3931914893617
Africa,2003,Male,27.043404255319142
Africa,2004,Both sexes,16.83829787234043
Africa,2004,Female,8.303617021276597
Africa,2004,Male,26.937872340425535
Africa,2005,Both sexes,16.81617021276596
Africa,2005,Female,8.281489361702127
Africa,2005,Male,26.962340425531917
Africa,2006,Both sexes,17.066382978723404
Africa,2006,Female,8.49808510638298
Africa,2006,Male,27.22553191489362
Africa,2007,Both sexes,17.212340425531917
Africa,2007,Female,8.471702127659572
Africa,2007,Male,27.565319148936183
Africa,2008,Both sexes,17.462127659574467
Africa,2008,Female,8.537446808510637
Africa,2008,Male,27.9995744680851
Africa,2009,Both sexes,17.510212765957444
Africa,2009,Female,8.454680851063829
Africa,2009,Male,28.184893617021274
Africa,2010,Both sexes,17.33574468085106
Africa,2010,Female,8.19617021276596
Africa,2010,Male,28.09468085106382
Africa,2011,Both sexes,17.065106382978723
Africa,2011,Female,7.966808510638298
Africa,2011,Male,27.743617021276602
Africa,2012,Both sexes,17.039787234042556
Africa,2012,Female,7.859787234042551
Africa,2012,Male,27.7804255319149
Africa,2013,Both sexes,16.81978723404255
Africa,2013,Female,7.698085106382979
Africa,2013,Male,27.470638297872345
Africa,2014,Both sexes,16.549148936170216
Africa,2014,Female,7.578085106382978
Africa,2014,Male,26.994042553191495
Africa,2015,Both sexes,16.093617021276593
Africa,2015,Female,7.324255319148934
Africa,2015,Male,26.321276595744678
Africa,2016,Both sexes,15.561276595744685
Africa,2016,Female,6.959574468085107
Africa,2016,Male,25.557872340425533
Africa,2017,Both sexes,15.048297872340422
Africa,2017,Female,6.604255319148937
Africa,2017,Male,24.840212765957443
Africa,2018,Both sexes,14.648297872340422
Africa,2018,Female,6.389148936170212
Africa,2018,Male,24.233829787234043
Africa,2019,Both sexes,14.330425531914898
Africa,2019,Female,6.291489361702127
Africa,2019,Male,23.663191489361704
Americas,2000,Both sexes,8.65030303030303
Americas,2000,Female,3.622121212121211
Americas,2000,Male,14.04393939393939
Americas,2001,Both sexes,8.646666666666667
Americas,2001,Female,3.7112121212121214
Americas,2001,Male,13.94030303030303
Americas,2002,Both sexes,8.724545454545453
Americas,2002,Female,3.713939393939395
Americas,2002,Male,14.083333333333336
Americas,2003,Both sexes,8.555151515151515
Americas,2003,Female,3.6593939393939396
Americas,2003,Male,13.810909090909092
Americas,2004,Both sexes,8.557272727272725
Americas,2004,Female,3.624242424242425
Americas,2004,Male,13.84060606060606
Americas,2005,Both sexes,8.444848484848487
Americas,2005,Female,3.585757575757576
Americas,2005,Male,13.67515151515151
Americas,2006,Both sexes,8.253333333333336
Americas,2006,Female,3.492121212121212
Americas,2006,Male,13.357575757575757
Americas,2007,Both sexes,8.104242424242424
Americas,2007,Female,3.455757575757575
Americas,2007,Male,13.068484848484847
Americas,2008,Both sexes,7.958787878787882
Americas,2008,Female,3.466666666666667
Americas,2008,Male,12.758484848484851
Americas,2009,Both sexes,7.986060606060606
Americas,2009,Female,3.5660606060606064
Americas,2009,Male,12.725757575757576
Americas,2010,Both sexes,7.951818181818183
Americas,2010,Female,3.445757575757576
Americas,2010,Male,12.76939393939394
Americas,2011,Both sexes,7.950909090909091
Americas,2011,Female,3.4396969696969695
Americas,2011,Male,12.764848484848484
Americas,2012,Both sexes,7.96909090909091
Americas,2012,Female,3.506363636363636
Americas,2012,Male,12.727878787878785
Americas,2013,Both sexes,7.867181818181817
Americas,2013,Female,3.3706060606060606
Americas,2013,Male,12.66363636363636
Americas,2014,Both sexes,7.800606060606059
Americas,2014,Female,3.3781818181818193
Americas,2014,Male,12.498787878787878
Americas,2015,Both sexes,7.90212121212121
Americas,2015,Female,3.4287878787878787
Americas,2015,Male,12.657878787878786
Americas,2016,Both sexes,7.761818181818182
Americas,2016,Female,3.404545454545455
Americas,2016,Male,12.397878787878788
Americas,2017,Both sexes,7.813939393939393
Americas,2017,Female,3.3730303030303026
Americas,2017,Male,12.534242424242425
Americas,2018,Both sexes,7.757878787878788
Americas,2018,Female,3.374242424242424
Americas,2018,Male,12.416969696969696
Americas,2019,Both sexes,7.720303030303031
Americas,2019,Female,3.342424242424242
Americas,2019,Male,12.366060606060607
Eastern Mediterranean,2000,Both sexes,6.833333333333333
Eastern Mediterranean,2000,Female,4.078095238095238
Eastern Mediterranean,2000,Male,9.217142857142859
Eastern Mediterranean,2001,Both sexes,6.8409523809523805
Eastern Mediterranean,2001,Female,4.030952380952381
Eastern Mediterranean,2001,Male,9.25809523809524
Eastern Mediterranean,2002,Both sexes,6.776666666666666
Eastern Mediterranean,2002,Female,3.9752380952380952
Eastern Mediterranean,2002,Male,9.187142857142854
Eastern Mediterranean,2003,Both sexes,6.708571428571427
Eastern Mediterranean,2003,Female,3.9042857142857135
Eastern Mediterranean,2003,Male,9.122857142857145
Eastern Mediterranean,2004,Both sexes,6.614285714285715
Eastern Mediterranean,2004,Female,3.8380952380952387
Eastern Mediterranean,2004,Male,8.997142857142856
Eastern Mediterranean,2005,Both sexes,6.507142857142856
Eastern Mediterranean,2005,Female,3.768095238095238
Eastern Mediterranean,2005,Male,8.84095238095238
Eastern Mediterranean,2006,Both sexes,6.347619047619046
Eastern Mediterranean,2006,Female,3.6695238095238096
Eastern Mediterranean,2006,Male,8.624761904761906
Eastern Mediterranean,2007,Both sexes,6.430952380952381
Eastern Mediterranean,2007,Female,3.6528571428571426
Eastern Mediterranean,2007,Male,8.743809523809523
Eastern Mediterranean,2008,Both sexes,6.3723809523809525
Eastern Mediterranean,2008,Female,3.5804761904761904
Eastern Mediterranean,2008,Male,8.688095238095238
Eastern Mediterranean,2009,Both sexes,6.302380952380953
Eastern Mediterranean,2009,Female,3.5423809523809515
Eastern Mediterranean,2009,Male,8.59952380952381
Eastern Mediterranean,2010,Both sexes,6.216190476190475
Eastern Mediterranean,2010,Female,3.487619047619048
Eastern Mediterranean,2010,Male,8.50095238095238
Eastern Mediterranean,2011,Both sexes,6.159523809523809
Eastern Mediterranean,2011,Female,3.4395238095238105
Eastern Mediterranean,2011,Male,8.445714285714285
Eastern Mediterranean,2012,Both sexes,6.095714285714285
Eastern Mediterranean,2012,Female,3.3876190476190478
Eastern Mediterranean,2012,Male,8.39333333333333
Eastern Mediterranean,2013,Both sexes,5.96047619047619
Eastern Mediterranean,2013,Female,3.3266666666666667
Eastern Mediterranean,2013,Male,8.205238095238096
Eastern Mediterranean,2014,Both sexes,5.940952380952382
Eastern Mediterranean,2014,Female,3.270952380952381
Eastern Mediterranean,2014,Male,8.235238095238095
Eastern Mediterranean,2015,Both sexes,5.805714285714285
Eastern Mediterranean,2015,Female,3.2
Eastern Mediterranean,2015,Male,8.059523809523808
Eastern Mediterranean,2016,Both sexes,5.742857142857144
Eastern Mediterranean,2016,Female,3.156666666666667
Eastern Mediterranean,2016,Male,7.97095238095238
Eastern Mediterranean,2017,Both sexes,5.744285714285714
Eastern Mediterranean,2017,Female,3.121904761904762
Eastern Mediterranean,2017,Male,8.005714285714289
Eastern Mediterranean,2018,Both sexes,5.720952380952381
Eastern Mediterranean,2018,Female,3.1023809523809525
Eastern Mediterranean,2018,Male,7.96095238095238
Eastern Mediterranean,2019,Both sexes,5.6623809523809525
Eastern Mediterranean,2019,Female,3.052380952380952
Eastern Mediterranean,2019,Male,7.880000000000001
Europe,2000,Both sexes,15.251000000000001
Europe,2000,Female,6.097799999999999
Europe,2000,Male,25.4888
Europe,2001,Both sexes,14.9224
Europe,2001,Female,5.7543999999999995
Europe,2001,Male,25.1076
Europe,2002,Both sexes,14.639400000000002
Europe,2002,Female,5.719200000000001
Europe,2002,Male,24.5744
Europe,2003,Both sexes,14.169999999999998
Europe,2003,Female,5.595
Europe,2003,Male,23.755200000000006
Europe,2004,Both sexes,13.830799999999996
Europe,2004,Female,5.607399999999999
Europe,2004,Male,23.007
Europe,2005,Both sexes,13.648799999999996
Europe,2005,Female,5.5443999999999996
Europe,2005,Male,22.66659999999999
Europe,2006,Both sexes,13.167200000000005
Europe,2006,Female,5.340799999999999
Europe,2006,Male,21.856199999999998
Europe,2007,Both sexes,12.523600000000002
Europe,2007,Female,5.1234
Europe,2007,Male,20.731599999999993
Europe,2008,Both sexes,12.660799999999997
Europe,2008,Female,5.2172
Europe,2008,Male,20.895799999999998
Europe,2009,Both sexes,12.552
Europe,2009,Female,4.9786
Europe,2009,Male,20.903200000000005
Europe,2010,Both sexes,12.074399999999999
Europe,2010,Female,4.810600000000002
Europe,2010,Male,20.079400000000003
Europe,2011,Both sexes,11.798400000000004
Europe,2011,Female,4.8224
Europe,2011,Male,19.485600000000005
Europe,2012,Both sexes,11.761600000000003
Europe,2012,Female,4.7336
Europe,2012,Male,19.471800000000005
Europe,2013,Both sexes,11.490600000000002
Europe,2013,Female,4.7498
Europe,2013,Male,18.877000000000002
Europe,2014,Both sexes,11.2624
Europe,2014,Female,4.713000000000001
Europe,2014,Male,18.4382
Europe,2015,Both sexes,10.779999999999998
Europe,2015,Female,4.6004000000000005
Europe,2015,Male,17.5572
Europe,2016,Both sexes,10.356999999999998
Europe,2016,Female,4.3156
Europe,2016,Male,16.968200000000003
Europe,2017,Both sexes,9.927799999999998
Europe,2017,Female,4.202
Europe,2017,Male,16.178199999999993
Europe,2018,Both sexes,9.7054
Europe,2018,Female,4.136000000000001
Europe,2018,Male,15.791199999999998
Europe,2019,Both sexes,9.499799999999997
Europe,2019,Female,4.074399999999999
Europe,2019,Male,15.4114
South-East Asia,2000,Both sexes,10.196363636363637
South-East Asia,2000,Female,6.266363636363637
South-East Asia,2000,Male,14.294545454545455
South-East Asia,2001,Both sexes,9.426363636363636
South-East Asia,2001,Female,5.676363636363637
South-East Asia,2001,Male,13.335454545454546
South-East Asia,2002,Both sexes,9.123636363636363
South-East Asia,2002,Female,5.4354545454545455
South-East Asia,2002,Male,12.973636363636365
South-East Asia,2003,Both sexes,8.876363636363637
South-East Asia,2003,Female,5.225454545454546
South-East Asia,2003,Male,12.688181818181818
South-East Asia,2004,Both sexes,8.712727272727273
South-East Asia,2004,Female,4.934545454545455
South-East Asia,2004,Male,12.652727272727274
South-East Asia,2005,Both sexes,9.149999999999999
South-East Asia,2005,Female,5.643636363636364
South-East Asia,2005,Male,12.828181818181816
South-East Asia,2006,Both sexes,8.116363636363637
South-East Asia,2006,Female,4.578181818181818
South-East Asia,2006,Male,11.806363636363637
South-East Asia,2007,Both sexes,8.108181818181817
South-East Asia,2007,Female,4.517272727272727
South-East Asia,2007,Male,11.867272727272727
South-East Asia,2008,Both sexes,7.751818181818183
South-East Asia,2008,Female,4.361818181818182
South-East Asia,2008,Male,11.305454545454545
South-East Asia,2009,Both sexes,8.197272727272725
South-East Asia,2009,Female,4.386363636363636
South-East Asia,2009,Male,12.211818181818183
South-East Asia,2010,Both sexes,8.032727272727273
South-East Asia,2010,Female,4.6027272727272734
South-East Asia,2010,Male,11.683636363636362
South-East Asia,2011,Both sexes,7.612727272727272
South-East Asia,2011,Female,4.184545454545455
South-East Asia,2011,Male,11.286363636363637
South-East Asia,2012,Both sexes,7.350909090909092
South-East Asia,2012,Female,4.030909090909091
South-East Asia,2012,Male,10.92909090909091
South-East Asia,2013,Both sexes,7.052727272727273
South-East Asia,2013,Female,3.899090909090909
South-East Asia,2013,Male,10.492727272727272
South-East Asia,2014,Both sexes,6.746363636363637
South-East Asia,2014,Female,3.6381818181818186
South-East Asia,2014,Male,10.148181818181818
South-East Asia,2015,Both sexes,6.919090909090911
South-East Asia,2015,Female,3.747272727272728
South-East Asia,2015,Male,10.41909090909091
South-East Asia,2016,Both sexes,6.858181818181818
South-East Asia,2016,Female,3.6763636363636363
South-East Asia,2016,Male,10.360000000000001
South-East Asia,2017,Both sexes,6.72090909090909
South-East Asia,2017,Female,3.5900000000000003
South-East Asia,2017,Male,10.162727272727272
South-East Asia,2018,Both sexes,6.696363636363636
South-East Asia,2018,Female,3.569090909090909
South-East Asia,2018,Male,10.132727272727271
South-East Asia,2019,Both sexes,6.676363636363636
South-East Asia,2019,Female,3.543636363636364
South-East Asia,2019,Male,10.12181818181818
Western Pacific,2000,Both sexes,13.283809523809524
Western Pacific,2000,Female,6.579523809523809
Western Pacific,2000,Male,20.22
Western Pacific,2001,Both sexes,13.047619047619046
Western Pacific,2001,Female,6.455238095238095
Western Pacific,2001,Male,19.872857142857146
Western Pacific,2002,Both sexes,12.935714285714287
Western Pacific,2002,Female,6.4123809523809525
Western Pacific,2002,Male,19.699047619047622
Western Pacific,2003,Both sexes,13.165238095238099
Western Pacific,2003,Female,6.530000000000001
Western Pacific,2003,Male,20.074761904761903
Western Pacific,2004,Both sexes,12.980476190476189
Western Pacific,2004,Female,6.353809523809523
Western Pacific,2004,Male,19.893809523809526
Western Pacific,2005,Both sexes,13.10904761904762
Western Pacific,2005,Female,6.3880952380952385
Western Pacific,2005,Male,20.125238095238092
Western Pacific,2006,Both sexes,12.82095238095238
Western Pacific,2006,Female,6.270476190476188
Western Pacific,2006,Male,19.62142857142857
Western Pacific,2007,Both sexes,12.93857142857143
Western Pacific,2007,Female,6.347142857142858
Western Pacific,2007,Male,19.796666666666667
Western Pacific,2008,Both sexes,12.992857142857142
Western Pacific,2008,Female,6.287142857142857
Western Pacific,2008,Male,19.96666666666667
Western Pacific,2009,Both sexes,13.05142857142857
Western Pacific,2009,Female,6.356190476190475
Western Pacific,2009,Male,20.00952380952381
Western Pacific,2010,Both sexes,13.008571428571429
Western Pacific,2010,Female,6.3171428571428585
Western Pacific,2010,Male,19.971428571428568
Western Pacific,2011,Both sexes,12.89380952380952
Western Pacific,2011,Female,6.136666666666667
Western Pacific,2011,Male,19.905714285714282
Western Pacific,2012,Both sexes,12.680476190476188
Western Pacific,2012,Female,6.101428571428571
Western Pacific,2012,Male,19.484285714285715
Western Pacific,2013,Both sexes,12.444761904761906
Western Pacific,2013,Female,5.911428571428572
Western Pacific,2013,Male,19.20428571428571
Western Pacific,2014,Both sexes,12.228571428571426
Western Pacific,2014,Female,5.709999999999999
Western Pacific,2014,Male,18.954285714285714
Western Pacific,2015,Both sexes,12.164285714285715
Western Pacific,2015,Female,5.664285714285715
Western Pacific,2015,Male,18.878095238095234
Western Pacific,2016,Both sexes,12.02761904761905
Western Pacific,2016,Female,5.550000000000001
Western Pacific,2016,Male,18.69333333333333
Western Pacific,2017,Both sexes,12.039047619047617
Western Pacific,2017,Female,5.497142857142857
Western Pacific,2017,Male,18.76809523809524
Western Pacific,2018,Both sexes,11.948095238095238
Western Pacific,2018,Female,5.49047619047619
Western Pacific,2018,Male,18.572380952380954
Western Pacific,2019,Both sexes,11.845714285714287
Western Pacific,2019,Female,5.523809523809524
Western Pacific,2019,Male,18.33285714285714
